Name,Link,ID
AMS Ukrainian Student Union at UBC,https://amsclubs.ca/usu/,29
AMS Volleyball Club at UBC,https://amsclubs.ca/volleyball-club/,30
AMS Women in Economics and Policy @ UBC,https://amsclubs.ca/women-in-economics-and-policy/,31
AMS Women's Health Research Club at UBC,https://amsclubs.ca/womens-health-research-club/,32
AMS Young Greens at UBC,https://amsclubs.ca/young-greens/,33
UBC Accounting Club,https://amsclubs.ca/accounting-club/,34
AMS Actuarial Science Club @ UBC,https://amsclubs.ca/actuarial-science-club/,35
UBC Africa Awareness Initiative,https://amsclubs.ca/afirca-awareness-initiative/,36
African Awareness Initiative,https://amsclubs.ca/african-awareness-initiative/,37
UBC Agape Street Missions,https://amsclubs.ca/agape-street-missions/,38
Alma Mater Society,https://amsclubs.ca/alma-mater-society/,39
Alpha Phi Omega,https://amsclubs.ca/alpha-phi-omega/,40
AMS Alternative Community Club at UBC,https://amsclubs.ca/alternative-community-club/,41
Amnesty International UBC,https://amsclubs.ca/amnesty-international/,42
The AMS Anatomy and Dissection Club at UBC,https://amsclubs.ca/anatomy-and-dissection-club/,43
Ancient Mediterranean and Near Eastern Student Association,https://amsclubs.ca/ancient-mediterranean-and-near-eastern-student-association/,44
UBC Anime Club,https://amsclubs.ca/anime-club/,45
AMS Anthropology Students Association (ASA) at UBC,https://amsclubs.ca/anthropology-students-association/,46
AMS Applied Machine Learning & Art @ UBC,https://amsclubs.ca/applied-machine-learning-and-art/,47
UBC Aqua Society,https://amsclubs.ca/aqua-society/,48
AMS Arab Student Association at UBC,https://amsclubs.ca/arab-student-association/,49
Art History Students' Association,https://amsclubs.ca/art-history-students-association/,50
Ascend Leadership,https://amsclubs.ca/ascend-leadership/,51
